question,distractor_type,meteor_score,semantic_similarity,grammar_score,diversity_score,subject
What is the primary role of fiber in the diet?,plausible_alternatives,0.031446540880503145,0.22522283,1.0,0.8390206203718096,nutrition
A plaintiff brings a products liability action against the manufacturer of a lawnmower. The plaintiff was injured while using the lawnmower when his foot slipped under the mower. The plaintiff's expert witness testifies that the blade guard was of a type that was more dangerous than alternative designs. The defendant's expert testifies that the blade guard was designed in accordance with government safety regulations. The jury should find for whom?,plausible_alternatives,0.2897569444444445,0.7270315,1.0,0.3789791148462074,professional_law
What is the time complexity of the quicksort algorithm in the average case?,plausible_alternatives,0.3125,0.82858723,0.8333333333333334,0.2694431270240985,college_computer_science
What is the recency effect in memory?,plausible_alternatives,0.49513860988348735,0.6645679,1.0,0.20367578951964393,high_school_psychology
What is the solution to the system of equations: 2x + y = 5 and x - y = 1?,plausible_alternatives,0.625,0.84142095,0.5,0.18336336770309378,high_school_mathematics
Which of the following is NOT one of Freud's psychosexual stages of development?,plausible_alternatives,0.25,0.42190424,1.0,0.5796752665909558,high_school_psychology
"A patient presents with elevated blood pressure, headache, and dizziness. The most appropriate initial diagnostic test would be:",plausible_alternatives,0.0,0.29536045,1.0,0.7636106819726306,professional_medicine
"According to Kant's categorical imperative, one should:",plausible_alternatives,0.13957913185441276,0.413473,1.0,0.5660231101021416,philosophy
Which of the following is the most common cause of community-acquired pneumonia?,plausible_alternatives,0.3958333333333333,0.6186597,1.0,0.588987561441133,professional_medicine
What is the primary function of mitochondria in a cell?,plausible_alternatives,0.32575757575757575,0.38149467,1.0,0.7976976329176267,high_school_biology
Which of the following is Newton's Second Law of Motion?,plausible_alternatives,0.05142869113457349,0.36409676,1.0,0.7106480058608292,high_school_physics
Which philosopher is associated with the concept of the 'social contract'?,plausible_alternatives,0.0,0.35500482,1.0,0.5839289812519356,philosophy
The Treaty of Versailles was signed at the end of which war?,plausible_alternatives,0.523741690408357,0.7047267,1.0,0.454738366211141,high_school_world_history
Which of the following is NOT involved in photosynthesis?,plausible_alternatives,0.0,0.3782979,0.8333333333333334,0.7123815127440865,high_school_biology
"If f(x) = 3x² - 2x + 5, what is f'(x)?",plausible_alternatives,0.2638888888888889,0.6941549,1.0,0.38417155705599465,high_school_mathematics
Which of the following is NOT a principle of object-oriented programming?,plausible_alternatives,0.16666666666666666,0.5429397,1.0,0.6709964969575459,college_computer_science
Which of the following is NOT a water-soluble vitamin?,plausible_alternatives,0.4791666666666667,0.6997642,1.0,0.3808274505976672,nutrition
Under what circumstances can a private citizen legally use deadly force against another person?,plausible_alternatives,0.035342060658516354,0.45540127,1.0,0.4379869832457572,professional_law
"According to Kant's categorical imperative, one should:",plausible_alternatives,0.0392156862745098,0.4096595,1.0,0.6608719222762657,philosophy
Which of the following is NOT a water-soluble vitamin?,plausible_alternatives,0.4791666666666667,0.6997642,1.0,0.3808274505976672,nutrition
Which philosopher is associated with the concept of the 'social contract'?,plausible_alternatives,0.0,0.33634916,1.0,0.5962221084941101,philosophy
"If f(x) = 3x² - 2x + 5, what is f'(x)?",plausible_alternatives,0.5224729938271605,0.76662177,1.0,0.3945818780945021,high_school_mathematics
Which of the following is NOT one of Freud's psychosexual stages of development?,plausible_alternatives,0.25,0.43008056,1.0,0.5796752665909558,high_school_psychology
A plaintiff brings a products liability action against the manufacturer of a lawnmower. The plaintiff was injured while using the lawnmower when his foot slipped under the mower. The plaintiff's expert witness testifies that the blade guard was of a type that was more dangerous than alternative designs. The defendant's expert testifies that the blade guard was designed in accordance with government safety regulations. The jury should find for whom?,plausible_alternatives,0.17038240379550215,0.7079,0.8333333333333334,0.22870851201432452,professional_law
An object with mass m is moving with velocity v. What is its kinetic energy?,plausible_alternatives,0.0,0.54003984,0.5,0.5577008125556393,high_school_physics
"A patient presents with elevated blood pressure, headache, and dizziness. The most appropriate initial diagnostic test would be:",plausible_alternatives,0.0,0.22631942,1.0,0.7284432784893397,professional_medicine
Which of the following is Newton's Second Law of Motion?,plausible_alternatives,0.0,0.19872369,0.8333333333333334,0.31350975764125094,high_school_physics
What is the recency effect in memory?,plausible_alternatives,0.6640873659313181,0.7641595,1.0,0.24362116616262472,high_school_psychology
Under what circumstances can a private citizen legally use deadly force against another person?,plausible_alternatives,0.020833333333333332,0.44111297,1.0,0.4662352494976951,professional_law
What is the solution to the system of equations: 2x + y = 5 and x - y = 1?,plausible_alternatives,0.625,0.8138254,0.5,0.2779432978643576,high_school_mathematics
Which of the following is the most common cause of community-acquired pneumonia?,plausible_alternatives,0.3125,0.5897706,1.0,0.6495817260026723,professional_medicine
Which of the following is NOT involved in photosynthesis?,plausible_alternatives,0.0,0.39800918,0.8333333333333334,0.6908314635002948,high_school_biology
Which of the following is NOT a principle of object-oriented programming?,plausible_alternatives,0.0,0.29336226,1.0,0.6489843023305742,college_computer_science
What is the primary role of fiber in the diet?,plausible_alternatives,0.15490333100395995,0.3896797,1.0,0.6153384525898495,nutrition
The Treaty of Versailles was signed at the end of which war?,plausible_alternatives,0.7397910731244065,0.8363872,1.0,0.48190364346415304,high_school_world_history
Who was the first Emperor of China?,plausible_alternatives,0.0,0.38423118,0.6666666666666666,0.6563926071993809,high_school_world_history
What is the primary function of mitochondria in a cell?,plausible_alternatives,0.5711279461279462,0.6575536,1.0,0.8581553660723403,high_school_biology
What is the time complexity of the quicksort algorithm in the average case?,plausible_alternatives,0.3125,0.82858723,0.8333333333333334,0.2694431270240985,college_computer_science
A plaintiff brings a products liability action against the manufacturer of a lawnmower. The plaintiff was injured while using the lawnmower when his foot slipped under the mower. The plaintiff's expert witness testifies that the blade guard was of a type that was more dangerous than alternative designs. The defendant's expert testifies that the blade guard was designed in accordance with government safety regulations. The jury should find for whom?,plausible_alternatives,0.2078274489527173,0.6863987,1.0,0.4570127350756401,professional_law
Which of the following is the most common cause of community-acquired pneumonia?,plausible_alternatives,0.0,0.3741407,1.0,0.588987561441133,professional_medicine
What is the solution to the system of equations: 2x + y = 5 and x - y = 1?,plausible_alternatives,0.625,0.8996281,0.5,0.14359537472647063,high_school_mathematics
What is the time complexity of the quicksort algorithm in the average case?,plausible_alternatives,0.3125,0.82858723,0.8333333333333334,0.2694431270240985,college_computer_science
The Treaty of Versailles was signed at the end of which war?,plausible_alternatives,0.7397910731244065,0.8512214,1.0,0.4855075635654644,high_school_world_history
An object with mass m is moving with velocity v. What is its kinetic energy?,plausible_alternatives,0.0,0.5501192,0.5,0.5644182583844645,high_school_physics
What is the primary function of mitochondria in a cell?,plausible_alternatives,0.2840909090909091,0.46267048,1.0,0.7864330595439687,high_school_biology
Which of the following is NOT a water-soluble vitamin?,plausible_alternatives,0.9375,1.0,1.0,0.3808274505976672,nutrition
Under what circumstances can a private citizen legally use deadly force against another person?,plausible_alternatives,0.061391826609217916,0.44824162,1.0,0.5142416846252832,professional_law
Who was the first Emperor of China?,plausible_alternatives,0.3125,0.5754394,0.8333333333333334,0.6749554289518928,high_school_world_history
"According to Kant's categorical imperative, one should:",plausible_alternatives,0.06125356125356126,0.3635858,1.0,0.6213937192366463,philosophy
Which of the following is NOT involved in photosynthesis?,plausible_alternatives,0.0,0.39800918,0.8333333333333334,0.6908314635002948,high_school_biology
Which of the following is Newton's Second Law of Motion?,plausible_alternatives,0.0,0.23046951,0.6666666666666666,0.35303742246907815,high_school_physics
"If f(x) = 3x² - 2x + 5, what is f'(x)?",plausible_alternatives,0.5354938271604938,0.82664806,1.0,0.37667426679572724,high_school_mathematics
Which of the following is NOT a principle of object-oriented programming?,plausible_alternatives,0.5,1.0,1.0,0.6709964969575459,college_computer_science
"A patient presents with elevated blood pressure, headache, and dizziness. The most appropriate initial diagnostic test would be:",plausible_alternatives,0.16666666666666666,0.43652734,1.0,0.8757465253479412,professional_medicine
What is the recency effect in memory?,plausible_alternatives,0.39062181339599805,0.6611211,1.0,0.3868152726070538,high_school_psychology
What is the primary role of fiber in the diet?,plausible_alternatives,0.0,0.1631906,1.0,0.7796438038172715,nutrition
Which of the following is NOT one of Freud's psychosexual stages of development?,plausible_alternatives,0.25,0.4415103,1.0,0.5832986200148137,high_school_psychology
Which philosopher is associated with the concept of the 'social contract'?,plausible_alternatives,0.3125,0.5631995,1.0,0.6445807584532054,philosophy
What is the recency effect in memory?,plausible_alternatives,0.4035417100368249,0.71893996,1.0,0.38470845141854665,high_school_psychology
The Treaty of Versailles was signed at the end of which war?,plausible_alternatives,0.7397910731244065,0.8350315,1.0,0.4706746714433075,high_school_world_history
"According to Kant's categorical imperative, one should:",plausible_alternatives,0.08487778673113082,0.32117882,1.0,0.6305452338742421,philosophy
"If f(x) = 3x² - 2x + 5, what is f'(x)?",plausible_alternatives,0.3194444444444444,0.7611997,1.0,0.37989951313814957,high_school_mathematics
An object with mass m is moving with velocity v. What is its kinetic energy?,plausible_alternatives,0.16666666666666666,0.7047799,0.5,0.5644182583844645,high_school_physics
Which of the following is NOT a principle of object-oriented programming?,plausible_alternatives,0.16666666666666666,0.5429397,1.0,0.6709964969575459,college_computer_science
Which of the following is NOT involved in photosynthesis?,plausible_alternatives,0.0,0.38689026,0.8333333333333334,0.7154746947496715,high_school_biology
Which of the following is NOT one of Freud's psychosexual stages of development?,plausible_alternatives,0.4791666666666667,0.5783383,1.0,0.6799959515851178,high_school_psychology
Under what circumstances can a private citizen legally use deadly force against another person?,plausible_alternatives,0.04786324786324786,0.36706078,1.0,0.5844988314805343,professional_law
What is the primary function of mitochondria in a cell?,plausible_alternatives,0.5711279461279462,0.5052739,1.0,0.7903682561292222,high_school_biology
Who was the first Emperor of China?,plausible_alternatives,0.3125,0.5754394,0.8333333333333334,0.6749554289518928,high_school_world_history
Which of the following is NOT a water-soluble vitamin?,plausible_alternatives,0.25,0.6191726,1.0,0.3808274505976672,nutrition
A plaintiff brings a products liability action against the manufacturer of a lawnmower. The plaintiff was injured while using the lawnmower when his foot slipped under the mower. The plaintiff's expert witness testifies that the blade guard was of a type that was more dangerous than alternative designs. The defendant's expert testifies that the blade guard was designed in accordance with government safety regulations. The jury should find for whom?,plausible_alternatives,0.29892379492894955,0.7031594,1.0,0.4140107662777421,professional_law
What is the solution to the system of equations: 2x + y = 5 and x - y = 1?,plausible_alternatives,0.625,0.8054721,0.5,0.16122054772948657,high_school_mathematics
Which philosopher is associated with the concept of the 'social contract'?,plausible_alternatives,0.0,0.31733906,1.0,0.5962221084941101,philosophy
What is the primary role of fiber in the diet?,plausible_alternatives,0.17570970695970697,0.25429156,1.0,0.6594205504168532,nutrition
What is the time complexity of the quicksort algorithm in the average case?,plausible_alternatives,0.3125,0.82858723,0.8333333333333334,0.2694431270240985,college_computer_science
Which of the following is Newton's Second Law of Motion?,plausible_alternatives,0.0,0.20531958,0.8333333333333334,0.3147331134315004,high_school_physics
Which of the following is the most common cause of community-acquired pneumonia?,plausible_alternatives,0.7083333333333334,0.83428955,1.0,0.6495817260026723,professional_medicine
"A patient presents with elevated blood pressure, headache, and dizziness. The most appropriate initial diagnostic test would be:",plausible_alternatives,0.11494252873563217,0.5074703,1.0,0.8040922046987128,professional_medicine
Which philosopher is associated with the concept of the 'social contract'?,plausible_alternatives,0.0,0.33690986,1.0,0.6743839973222009,philosophy
"According to Kant's categorical imperative, one should:",plausible_alternatives,0.03875968992248063,0.3396224,1.0,0.680511969593702,philosophy
Which of the following is NOT a water-soluble vitamin?,plausible_alternatives,0.4791666666666667,0.6997642,1.0,0.3808274505976672,nutrition
What is the recency effect in memory?,plausible_alternatives,0.4897433840597964,0.6911345,1.0,0.24407441710322586,high_school_psychology
The Treaty of Versailles was signed at the end of which war?,plausible_alternatives,0.7397910731244065,0.8350315,1.0,0.4706746714433075,high_school_world_history
Which of the following is NOT a principle of object-oriented programming?,plausible_alternatives,0.16666666666666666,0.5429397,1.0,0.6709964969575459,college_computer_science
What is the primary role of fiber in the diet?,plausible_alternatives,0.1892156862745098,0.16983871,1.0,0.8161878597322726,nutrition
Which of the following is NOT one of Freud's psychosexual stages of development?,plausible_alternatives,0.4791666666666667,0.5901245,1.0,0.6405051125423503,high_school_psychology
Which of the following is the most common cause of community-acquired pneumonia?,plausible_alternatives,0.08333333333333333,0.41954935,1.0,0.549644140032737,professional_medicine
An object with mass m is moving with velocity v. What is its kinetic energy?,plausible_alternatives,0.0,0.43988994,0.5,0.5358337272545823,high_school_physics
What is the solution to the system of equations: 2x + y = 5 and x - y = 1?,plausible_alternatives,0.625,0.8138254,0.5,0.2779432978643576,high_school_mathematics
Which of the following is Newton's Second Law of Motion?,plausible_alternatives,0.0,0.20531958,0.8333333333333334,0.3147331134315004,high_school_physics
"A patient presents with elevated blood pressure, headache, and dizziness. The most appropriate initial diagnostic test would be:",plausible_alternatives,0.0,0.22837918,1.0,0.7636106819726306,professional_medicine
A plaintiff brings a products liability action against the manufacturer of a lawnmower. The plaintiff was injured while using the lawnmower when his foot slipped under the mower. The plaintiff's expert witness testifies that the blade guard was of a type that was more dangerous than alternative designs. The defendant's expert testifies that the blade guard was designed in accordance with government safety regulations. The jury should find for whom?,plausible_alternatives,0.2391403289503721,0.683258,1.0,0.3690927355773961,professional_law
What is the time complexity of the quicksort algorithm in the average case?,plausible_alternatives,0.3125,0.82858723,0.8333333333333334,0.2694431270240985,college_computer_science
What is the primary function of mitochondria in a cell?,plausible_alternatives,0.36742424242424243,0.3242175,1.0,0.8581553660723403,high_school_biology
Under what circumstances can a private citizen legally use deadly force against another person?,plausible_alternatives,0.041666666666666664,0.3645083,1.0,0.4789216549957908,professional_law
"If f(x) = 3x² - 2x + 5, what is f'(x)?",plausible_alternatives,0.4382716049382716,0.84352523,1.0,0.3560909838182324,high_school_mathematics
Who was the first Emperor of China?,plausible_alternatives,0.043859649122807015,0.4421331,0.6666666666666666,0.6008849943758928,high_school_world_history
Which of the following is NOT involved in photosynthesis?,plausible_alternatives,0.0,0.38096166,0.8333333333333334,0.6908314635002948,high_school_biology
Who was the first Emperor of China?,plausible_alternatives,0.0,0.3123748,0.8333333333333334,0.594343258571065,high_school_world_history
What is the primary function of mitochondria in a cell?,plausible_alternatives,0.32575757575757575,0.29547873,1.0,0.8351038820283284,high_school_biology
Which of the following is NOT a principle of object-oriented programming?,plausible_alternatives,0.16666666666666666,0.5429397,1.0,0.6709964969575459,college_computer_science
"According to Kant's categorical imperative, one should:",plausible_alternatives,0.15084545990298745,0.38717172,1.0,0.5621139561789433,philosophy
"If f(x) = 3x² - 2x + 5, what is f'(x)?",plausible_alternatives,0.5910493827160493,0.9199295,1.0,0.19926631100665645,high_school_mathematics
What is the recency effect in memory?,plausible_alternatives,0.39062181339599805,0.6597343,1.0,0.3775096408857583,high_school_psychology
A plaintiff brings a products liability action against the manufacturer of a lawnmower. The plaintiff was injured while using the lawnmower when his foot slipped under the mower. The plaintiff's expert witness testifies that the blade guard was of a type that was more dangerous than alternative designs. The defendant's expert testifies that the blade guard was designed in accordance with government safety regulations. The jury should find for whom?,plausible_alternatives,0.2435744862041079,0.7550545,1.0,0.36507992349419904,professional_law
Which of the following is NOT a water-soluble vitamin?,plausible_alternatives,0.4791666666666667,0.6997642,1.0,0.3808274505976672,nutrition
What is the primary role of fiber in the diet?,plausible_alternatives,0.0,0.18836941,1.0,0.7647269029929301,nutrition
What is the time complexity of the quicksort algorithm in the average case?,plausible_alternatives,0.3125,0.82858723,0.8333333333333334,0.2694431270240985,college_computer_science
Which of the following is NOT involved in photosynthesis?,plausible_alternatives,0.0,0.39800918,0.8333333333333334,0.6908314635002948,high_school_biology
Under what circumstances can a private citizen legally use deadly force against another person?,plausible_alternatives,0.07193732193732194,0.36914065,1.0,0.5852513348327116,professional_law
What is the solution to the system of equations: 2x + y = 5 and x - y = 1?,plausible_alternatives,0.8175617283950617,0.82686347,0.5,0.2536310796804689,high_school_mathematics
An object with mass m is moving with velocity v. What is its kinetic energy?,plausible_alternatives,0.0,0.52114,0.5,0.4856750405585882,high_school_physics
Which of the following is Newton's Second Law of Motion?,plausible_alternatives,0.0,0.20531958,0.8333333333333334,0.3147331134315004,high_school_physics
The Treaty of Versailles was signed at the end of which war?,plausible_alternatives,0.7397910731244065,0.8350315,1.0,0.4706746714433075,high_school_world_history
Which philosopher is associated with the concept of the 'social contract'?,plausible_alternatives,0.0,0.3216238,1.0,0.6736664749658773,philosophy
Which of the following is NOT one of Freud's psychosexual stages of development?,plausible_alternatives,0.25,0.43008056,1.0,0.5796752665909558,high_school_psychology
Which of the following is the most common cause of community-acquired pneumonia?,plausible_alternatives,0.0,0.37210956,1.0,0.5759398902071254,professional_medicine
"A patient presents with elevated blood pressure, headache, and dizziness. The most appropriate initial diagnostic test would be:",plausible_alternatives,0.0,0.22837918,1.0,0.7636106819726306,professional_medicine
Under what circumstances can a private citizen legally use deadly force against another person?,plausible_alternatives,0.04615482556659028,0.3543134,1.0,0.5549148423422876,professional_law
What is the primary role of fiber in the diet?,plausible_alternatives,0.3944088319088319,0.5880434,1.0,0.7326293590506295,nutrition
"A patient presents with elevated blood pressure, headache, and dizziness. The most appropriate initial diagnostic test would be:",plausible_alternatives,0.0,0.27619383,1.0,0.7284432784893397,professional_medicine
Which of the following is NOT a water-soluble vitamin?,plausible_alternatives,0.4791666666666667,0.6997642,1.0,0.3808274505976672,nutrition
"If f(x) = 3x² - 2x + 5, what is f'(x)?",plausible_alternatives,0.2638888888888889,0.75126404,1.0,0.3568946824153525,high_school_mathematics
Which of the following is the most common cause of community-acquired pneumonia?,plausible_alternatives,0.0,0.3741407,1.0,0.588987561441133,professional_medicine
What is the primary function of mitochondria in a cell?,plausible_alternatives,0.5711279461279462,0.69906205,1.0,0.8823321124689157,high_school_biology
What is the time complexity of the quicksort algorithm in the average case?,plausible_alternatives,0.3125,0.82858723,0.8333333333333334,0.2694431270240985,college_computer_science
Which of the following is NOT involved in photosynthesis?,plausible_alternatives,0.0,0.37819448,0.8333333333333334,0.7310328992957756,high_school_biology
Which of the following is NOT a principle of object-oriented programming?,plausible_alternatives,0.16666666666666666,0.5429397,1.0,0.6709964969575459,college_computer_science
Which of the following is NOT one of Freud's psychosexual stages of development?,semantic_confounders,0.25,0.47880566,1.0,0.34516457624195246,high_school_psychology
Which of the following is NOT a principle of object-oriented programming?,semantic_confounders,0.0,0.18286796,1.0,0.6697693637053538,college_computer_science
Under what circumstances can a private citizen legally use deadly force against another person?,semantic_confounders,0.021645021645021648,0.37401608,1.0,0.45943092584238254,professional_law
"A patient presents with elevated blood pressure, headache, and dizziness. The most appropriate initial diagnostic test would be:",semantic_confounders,0.0,0.19972217,1.0,0.6589154662801674,professional_medicine
Which of the following is the most common cause of community-acquired pneumonia?,semantic_confounders,0.3125,0.57805437,1.0,0.6277442230524387,professional_medicine
What is the primary role of fiber in the diet?,semantic_confounders,0.032051282051282055,0.24834742,1.0,0.6142937729930784,nutrition
An object with mass m is moving with velocity v. What is its kinetic energy?,semantic_confounders,0.16666666666666666,0.63787,0.5,0.5644182583844644,high_school_physics
A plaintiff brings a products liability action against the manufacturer of a lawnmower. The plaintiff was injured while using the lawnmower when his foot slipped under the mower. The plaintiff's expert witness testifies that the blade guard was of a type that was more dangerous than alternative designs. The defendant's expert testifies that the blade guard was designed in accordance with government safety regulations. The jury should find for whom?,semantic_confounders,0.45162277713940613,0.7612435,1.0,0.23319619116215048,professional_law
What is the primary function of mitochondria in a cell?,semantic_confounders,0.0,0.13900152,1.0,0.41331394026331064,high_school_biology
Which of the following is NOT involved in photosynthesis?,semantic_confounders,0.16666666666666666,0.456915,0.8333333333333334,0.6380792564967644,high_school_biology
Which philosopher is associated with the concept of the 'social contract'?,semantic_confounders,0.0,0.35031363,1.0,0.5592442893135013,philosophy
Which of the following is NOT a water-soluble vitamin?,semantic_confounders,0.9375,1.0,1.0,0.3808274505976672,nutrition
"If f(x) = 3x² - 2x + 5, what is f'(x)?",semantic_confounders,0.3194444444444444,0.77623135,1.0,0.2845136848265635,high_school_mathematics
What is the time complexity of the quicksort algorithm in the average case?,semantic_confounders,0.3125,0.839089,0.8333333333333334,0.19249524059918424,college_computer_science
What is the solution to the system of equations: 2x + y = 5 and x - y = 1?,semantic_confounders,0.8175617283950617,0.81867176,0.5,0.06495078199128516,high_school_mathematics
Which of the following is Newton's Second Law of Motion?,semantic_confounders,0.0,0.20531958,0.8333333333333334,0.3147331134315004,high_school_physics
Who was the first Emperor of China?,semantic_confounders,0.0,0.43298578,1.0,0.4991413866022227,high_school_world_history
The Treaty of Versailles was signed at the end of which war?,semantic_confounders,0.7397910731244065,0.8392296,1.0,0.4795518130879339,high_school_world_history
What is the recency effect in memory?,semantic_confounders,0.6535810842373921,0.76992863,1.0,0.059297677718199125,high_school_psychology
"According to Kant's categorical imperative, one should:",semantic_confounders,0.09344598054275473,0.44968382,1.0,0.19613394852358423,philosophy
Who was the first Emperor of China?,semantic_confounders,0.043859649122807015,0.5038328,0.8333333333333334,0.5547420448790797,high_school_world_history
An object with mass m is moving with velocity v. What is its kinetic energy?,semantic_confounders,0.0,0.35945868,0.5,0.5577008125556392,high_school_physics
What is the primary role of fiber in the diet?,semantic_confounders,0.050505050505050504,0.37943038,1.0,0.6577257316320079,nutrition
A plaintiff brings a products liability action against the manufacturer of a lawnmower. The plaintiff was injured while using the lawnmower when his foot slipped under the mower. The plaintiff's expert witness testifies that the blade guard was of a type that was more dangerous than alternative designs. The defendant's expert testifies that the blade guard was designed in accordance with government safety regulations. The jury should find for whom?,semantic_confounders,0.34938114871508547,0.6819229,1.0,0.27879020689664047,professional_law
What is the time complexity of the quicksort algorithm in the average case?,semantic_confounders,0.3125,0.75917035,0.8333333333333334,0.28629702285025627,college_computer_science
What is the recency effect in memory?,semantic_confounders,0.586431930642457,0.72778195,1.0,0.1089798024791292,high_school_psychology
What is the solution to the system of equations: 2x + y = 5 and x - y = 1?,semantic_confounders,0.625,0.8403175,0.5,0.12064352716677218,high_school_mathematics
Which of the following is NOT one of Freud's psychosexual stages of development?,semantic_confounders,0.25,0.4503561,1.0,0.4404086799319975,high_school_psychology
"A patient presents with elevated blood pressure, headache, and dizziness. The most appropriate initial diagnostic test would be:",semantic_confounders,0.0,0.22075552,1.0,0.6025346026649707,professional_medicine
"According to Kant's categorical imperative, one should:",semantic_confounders,0.10020630710285883,0.4056653,1.0,0.33468946491896073,philosophy
Which of the following is the most common cause of community-acquired pneumonia?,semantic_confounders,0.0,0.3579186,1.0,0.5822863326935744,professional_medicine
What is the primary function of mitochondria in a cell?,semantic_confounders,0.32575757575757575,0.49366868,1.0,0.8144848331504934,high_school_biology
Which of the following is Newton's Second Law of Motion?,semantic_confounders,0.0,0.19872369,0.8333333333333334,0.31350975764125094,high_school_physics
Which philosopher is associated with the concept of the 'social contract'?,semantic_confounders,0.0,0.35564038,1.0,0.6743839973222009,philosophy
The Treaty of Versailles was signed at the end of which war?,semantic_confounders,0.7397910731244065,0.8350315,1.0,0.4706746714433075,high_school_world_history
Which of the following is NOT involved in photosynthesis?,semantic_confounders,0.16666666666666666,0.47396252,0.8333333333333334,0.6380792564967644,high_school_biology
"If f(x) = 3x² - 2x + 5, what is f'(x)?",semantic_confounders,0.47222222222222215,0.7212872,1.0,0.30878304602881185,high_school_mathematics
Which of the following is NOT a principle of object-oriented programming?,semantic_confounders,0.0,0.1670425,1.0,0.6943301984703516,college_computer_science
Which of the following is NOT a water-soluble vitamin?,semantic_confounders,0.25,0.589596,1.0,0.38828516286351095,nutrition
Under what circumstances can a private citizen legally use deadly force against another person?,semantic_confounders,0.046520643535568916,0.44786027,1.0,0.4102799712054563,professional_law
"According to Kant's categorical imperative, one should:",semantic_confounders,0.09344598054275473,0.4423585,1.0,0.19077803613160463,philosophy
Which of the following is NOT a water-soluble vitamin?,semantic_confounders,0.25,0.5788714,1.0,0.38828516286351095,nutrition
Which philosopher is associated with the concept of the 'social contract'?,semantic_confounders,0.0,0.28373277,1.0,0.6736664749658773,philosophy
"If f(x) = 3x² - 2x + 5, what is f'(x)?",semantic_confounders,0.4166666666666667,0.72906715,1.0,0.33849752195185934,high_school_mathematics
Which of the following is NOT one of Freud's psychosexual stages of development?,semantic_confounders,0.25,0.45055047,1.0,0.4533710424227251,high_school_psychology
A plaintiff brings a products liability action against the manufacturer of a lawnmower. The plaintiff was injured while using the lawnmower when his foot slipped under the mower. The plaintiff's expert witness testifies that the blade guard was of a type that was more dangerous than alternative designs. The defendant's expert testifies that the blade guard was designed in accordance with government safety regulations. The jury should find for whom?,semantic_confounders,0.24983892595499738,0.61472327,1.0,0.41426162984881193,professional_law
An object with mass m is moving with velocity v. What is its kinetic energy?,semantic_confounders,0.16666666666666666,0.7047799,0.5,0.5644182583844645,high_school_physics
