question,subject,correct_answer,llm_answer,is_correct,confidence,response_time,distractor_set,distractor_type,model
"A patient presents with elevated blood pressure, headache, and dizziness. The most appropriate initial diagnostic test would be:",professional_medicine,24-hour ambulatory blood pressure monitoring,24-hour ambulatory blood pressure monitoring,True,90.0,0.33127307891845703,original,original,gpt-4o
"According to Kant's categorical imperative, one should:",philosophy,"Act only according to that maxim whereby you can, at the same time, will that it should become a universal law","Act only according to that maxim whereby you can, at the same time, will that it should become a universal law",True,100.0,0.5721790790557861,original,original,gpt-4o
Which of the following is the most common cause of community-acquired pneumonia?,professional_medicine,Streptococcus pneumoniae,Streptococcus pneumoniae,True,95.0,0.5344028472900391,original,original,gpt-4o
What is the primary function of mitochondria in a cell?,high_school_biology,Energy production through cellular respiration,Energy production through cellular respiration,True,100.0,0.42952823638916016,original,original,gpt-4o
Which of the following is Newton's Second Law of Motion?,high_school_physics,F = ma,F = ma,True,100.0,0.4614841938018799,original,original,gpt-4o
Which philosopher is associated with the concept of the 'social contract'?,philosophy,Jean-Jacques Rousseau,Jean-Jacques Rousseau,True,100.0,0.3795051574707031,original,original,gpt-4o
The Treaty of Versailles was signed at the end of which war?,high_school_world_history,World War I,World War I,True,100.0,0.3083610534667969,original,original,gpt-4o
Which of the following is NOT involved in photosynthesis?,high_school_biology,Mitochondria,Mitochondria,True,100.0,0.32424092292785645,original,original,gpt-4o
"If f(x) = 3x² - 2x + 5, what is f'(x)?",high_school_mathematics,6x - 2,6x - 2,True,100.0,0.4789450168609619,original,original,gpt-4o
Which of the following is NOT a principle of object-oriented programming?,college_computer_science,Procedural decomposition,Procedural decomposition,True,100.0,0.4578678607940674,original,original,gpt-4o
Which of the following is NOT a water-soluble vitamin?,nutrition,Vitamin E,Vitamin E,True,100.0,0.32586216926574707,original,original,gpt-4o
Under what circumstances can a private citizen legally use deadly force against another person?,professional_law,When the person reasonably believes deadly force is necessary for self-defense against an imminent threat of death or serious bodily harm,When the person reasonably believes deadly force is necessary for self-defense against an imminent threat of death or serious bodily harm,True,95.0,0.43607091903686523,original,original,gpt-4o
"According to Kant's categorical imperative, one should:",philosophy,"Act only according to that maxim whereby you can, at the same time, will that it should become a universal law","Act only according to that maxim whereby you can, at the same time, will that it should become a universal law",True,100.0,0.8179030418395996,original,original,gpt-4o
Which of the following is NOT a water-soluble vitamin?,nutrition,Vitamin E,Vitamin E,True,100.0,0.35135507583618164,original,original,gpt-4o
Which philosopher is associated with the concept of the 'social contract'?,philosophy,Jean-Jacques Rousseau,Jean-Jacques Rousseau,True,100.0,0.38744401931762695,original,original,gpt-4o
"If f(x) = 3x² - 2x + 5, what is f'(x)?",high_school_mathematics,6x - 2,6x - 2,True,100.0,0.39150404930114746,original,original,gpt-4o
Which of the following is NOT one of Freud's psychosexual stages of development?,high_school_psychology,Cognitive stage,Cognitive stage,True,100.0,1.0226917266845703,original,original,gpt-4o
A plaintiff brings a products liability action against the manufacturer of a lawnmower. The plaintiff was injured while using the lawnmower when his foot slipped under the mower. The plaintiff's expert witness testifies that the blade guard was of a type that was more dangerous than alternative designs. The defendant's expert testifies that the blade guard was designed in accordance with government safety regulations. The jury should find for whom?,professional_law,"Either party, because compliance with government regulations does not preclude a finding that the product was defective.","Either party, because compliance with government regulations does not preclude a finding that the product was defective.",True,90.0,0.5148427486419678,original,original,gpt-4o
An object with mass m is moving with velocity v. What is its kinetic energy?,high_school_physics,½mv²,mv,False,100.0,0.3597381114959717,original,original,gpt-4o
"A patient presents with elevated blood pressure, headache, and dizziness. The most appropriate initial diagnostic test would be:",professional_medicine,24-hour ambulatory blood pressure monitoring,24-hour ambulatory blood pressure monitoring,True,90.0,0.4840269088745117,original,original,gpt-4o
Which of the following is Newton's Second Law of Motion?,high_school_physics,F = ma,F = ma,True,100.0,0.6161308288574219,original,original,gpt-4o
What is the recency effect in memory?,high_school_psychology,The tendency to better recall items that were presented last in a sequence,The tendency to better recall items that were presented last in a sequence,True,100.0,0.5147390365600586,original,original,gpt-4o
Under what circumstances can a private citizen legally use deadly force against another person?,professional_law,When the person reasonably believes deadly force is necessary for self-defense against an imminent threat of death or serious bodily harm,When the person reasonably believes deadly force is necessary for self-defense against an imminent threat of death or serious bodily harm,True,95.0,0.5796663761138916,original,original,gpt-4o
What is the solution to the system of equations: 2x + y = 5 and x - y = 1?,high_school_mathematics,"x = 2, y = 1",Error: No clear answer,False,,1.3149819374084473,original,original,gpt-4o
Which of the following is the most common cause of community-acquired pneumonia?,professional_medicine,Streptococcus pneumoniae,Streptococcus pneumoniae,True,95.0,0.5461108684539795,original,original,gpt-4o
Which of the following is NOT involved in photosynthesis?,high_school_biology,Mitochondria,Mitochondria,True,100.0,0.49472808837890625,original,original,gpt-4o
Which of the following is NOT a principle of object-oriented programming?,college_computer_science,Procedural decomposition,Procedural decomposition,True,100.0,0.643686056137085,original,original,gpt-4o
What is the primary role of fiber in the diet?,nutrition,Promoting digestive health and regular bowel movements,Promoting digestive health and regular bowel movements,True,100.0,0.49195098876953125,original,original,gpt-4o
The Treaty of Versailles was signed at the end of which war?,high_school_world_history,World War I,World War I,True,100.0,0.3592219352722168,original,original,gpt-4o
Who was the first Emperor of China?,high_school_world_history,Qin Shi Huang,Qin Shi Huang,True,100.0,0.34040188789367676,original,original,gpt-4o
What is the primary function of mitochondria in a cell?,high_school_biology,Energy production through cellular respiration,Energy production through cellular respiration,True,100.0,0.3194150924682617,original,original,gpt-4o
What is the time complexity of the quicksort algorithm in the average case?,college_computer_science,O(n log n),O(n log n),True,100.0,0.9577798843383789,original,original,gpt-4o
A plaintiff brings a products liability action against the manufacturer of a lawnmower. The plaintiff was injured while using the lawnmower when his foot slipped under the mower. The plaintiff's expert witness testifies that the blade guard was of a type that was more dangerous than alternative designs. The defendant's expert testifies that the blade guard was designed in accordance with government safety regulations. The jury should find for whom?,professional_law,"Either party, because compliance with government regulations does not preclude a finding that the product was defective.","Either party, because compliance with government regulations does not preclude a finding that the product was defective.",True,95.0,0.5992128849029541,original,original,gpt-4o
Which of the following is the most common cause of community-acquired pneumonia?,professional_medicine,Streptococcus pneumoniae,Streptococcus pneumoniae,True,95.0,0.3378872871398926,original,original,gpt-4o
What is the solution to the system of equations: 2x + y = 5 and x - y = 1?,high_school_mathematics,"x = 2, y = 1",Error: No clear answer,False,,1.5920777320861816,original,original,gpt-4o
What is the time complexity of the quicksort algorithm in the average case?,college_computer_science,O(n log n),O(n log n),True,100.0,0.3235929012298584,original,original,gpt-4o
The Treaty of Versailles was signed at the end of which war?,high_school_world_history,World War I,World War I,True,100.0,0.5147099494934082,original,original,gpt-4o
An object with mass m is moving with velocity v. What is its kinetic energy?,high_school_physics,½mv²,½mv²,True,100.0,0.5333008766174316,original,original,gpt-4o
What is the primary function of mitochondria in a cell?,high_school_biology,Energy production through cellular respiration,Energy production through cellular respiration,True,100.0,0.37372493743896484,original,original,gpt-4o
Which of the following is NOT a water-soluble vitamin?,nutrition,Vitamin E,Vitamin E,True,100.0,0.4113640785217285,original,original,gpt-4o
Under what circumstances can a private citizen legally use deadly force against another person?,professional_law,When the person reasonably believes deadly force is necessary for self-defense against an imminent threat of death or serious bodily harm,When the person reasonably believes deadly force is necessary for self-defense against an imminent threat of death or serious bodily harm,True,95.0,0.457169771194458,original,original,gpt-4o
Who was the first Emperor of China?,high_school_world_history,Qin Shi Huang,Qin Shi Huang,True,100.0,0.36590003967285156,original,original,gpt-4o
"According to Kant's categorical imperative, one should:",philosophy,"Act only according to that maxim whereby you can, at the same time, will that it should become a universal law","Act only according to that maxim whereby you can, at the same time, will that it should become a universal law",True,100.0,0.7153887748718262,original,original,gpt-4o
Which of the following is NOT involved in photosynthesis?,high_school_biology,Mitochondria,Mitochondria,True,100.0,0.5117287635803223,original,original,gpt-4o
Which of the following is Newton's Second Law of Motion?,high_school_physics,F = ma,F = ma,True,100.0,0.38098597526550293,original,original,gpt-4o
"If f(x) = 3x² - 2x + 5, what is f'(x)?",high_school_mathematics,6x - 2,6x - 2,True,100.0,0.42804384231567383,original,original,gpt-4o
Which of the following is NOT a principle of object-oriented programming?,college_computer_science,Procedural decomposition,Procedural decomposition,True,100.0,0.4064199924468994,original,original,gpt-4o
"A patient presents with elevated blood pressure, headache, and dizziness. The most appropriate initial diagnostic test would be:",professional_medicine,24-hour ambulatory blood pressure monitoring,24-hour ambulatory blood pressure monitoring,True,90.0,0.5871918201446533,original,original,gpt-4o
What is the recency effect in memory?,high_school_psychology,The tendency to better recall items that were presented last in a sequence,The tendency to better recall items that were presented last in a sequence,True,100.0,1.4574029445648193,original,original,gpt-4o
What is the primary role of fiber in the diet?,nutrition,Promoting digestive health and regular bowel movements,Promoting digestive health and regular bowel movements,True,100.0,0.5916008949279785,original,original,gpt-4o
Which of the following is NOT one of Freud's psychosexual stages of development?,high_school_psychology,Cognitive stage,Cognitive stage,True,100.0,0.3743937015533447,original,original,gpt-4o
Which philosopher is associated with the concept of the 'social contract'?,philosophy,Jean-Jacques Rousseau,Jean-Jacques Rousseau,True,100.0,0.5121440887451172,original,original,gpt-4o
What is the recency effect in memory?,high_school_psychology,The tendency to better recall items that were presented last in a sequence,The tendency to better recall items that were presented last in a sequence,True,100.0,0.8600597381591797,original,original,gpt-4o
The Treaty of Versailles was signed at the end of which war?,high_school_world_history,World War I,World War I,True,100.0,0.33045506477355957,original,original,gpt-4o
"According to Kant's categorical imperative, one should:",philosophy,"Act only according to that maxim whereby you can, at the same time, will that it should become a universal law","Act only according to that maxim whereby you can, at the same time, will that it should become a universal law",True,100.0,0.6234328746795654,original,original,gpt-4o
"If f(x) = 3x² - 2x + 5, what is f'(x)?",high_school_mathematics,6x - 2,6x - 2,True,,1.5113210678100586,original,original,gpt-4o
An object with mass m is moving with velocity v. What is its kinetic energy?,high_school_physics,½mv²,mv²,False,100.0,0.5933318138122559,original,original,gpt-4o
Which of the following is NOT a principle of object-oriented programming?,college_computer_science,Procedural decomposition,Procedural decomposition,True,100.0,0.45754384994506836,original,original,gpt-4o
Which of the following is NOT involved in photosynthesis?,high_school_biology,Mitochondria,Mitochondria,True,100.0,0.47557711601257324,original,original,gpt-4o
Which of the following is NOT one of Freud's psychosexual stages of development?,high_school_psychology,Cognitive stage,Cognitive stage,True,100.0,0.40409421920776367,original,original,gpt-4o
Under what circumstances can a private citizen legally use deadly force against another person?,professional_law,When the person reasonably believes deadly force is necessary for self-defense against an imminent threat of death or serious bodily harm,When the person reasonably believes deadly force is necessary for self-defense against an imminent threat of death or serious bodily harm,True,95.0,0.4578828811645508,original,original,gpt-4o
What is the primary function of mitochondria in a cell?,high_school_biology,Energy production through cellular respiration,Energy production through cellular respiration,True,100.0,0.3632080554962158,original,original,gpt-4o
Who was the first Emperor of China?,high_school_world_history,Qin Shi Huang,Qin Shi Huang,True,100.0,0.4329240322113037,original,original,gpt-4o
Which of the following is NOT a water-soluble vitamin?,nutrition,Vitamin E,Vitamin E,True,100.0,0.36167311668395996,original,original,gpt-4o
A plaintiff brings a products liability action against the manufacturer of a lawnmower. The plaintiff was injured while using the lawnmower when his foot slipped under the mower. The plaintiff's expert witness testifies that the blade guard was of a type that was more dangerous than alternative designs. The defendant's expert testifies that the blade guard was designed in accordance with government safety regulations. The jury should find for whom?,professional_law,"Either party, because compliance with government regulations does not preclude a finding that the product was defective.","Either party, because compliance with government regulations does not preclude a finding that the product was defective.",True,90.0,0.7794487476348877,original,original,gpt-4o
What is the solution to the system of equations: 2x + y = 5 and x - y = 1?,high_school_mathematics,"x = 2, y = 1",Error: No clear answer,False,,1.3290109634399414,original,original,gpt-4o
Which philosopher is associated with the concept of the 'social contract'?,philosophy,Jean-Jacques Rousseau,Jean-Jacques Rousseau,True,100.0,0.342972993850708,original,original,gpt-4o
What is the primary role of fiber in the diet?,nutrition,Promoting digestive health and regular bowel movements,Promoting digestive health and regular bowel movements,True,100.0,0.3544461727142334,original,original,gpt-4o
What is the time complexity of the quicksort algorithm in the average case?,college_computer_science,O(n log n),O(n log n),True,100.0,0.3507399559020996,original,original,gpt-4o
Which of the following is Newton's Second Law of Motion?,high_school_physics,F = ma,F = ma,True,100.0,0.42752695083618164,original,original,gpt-4o
Which of the following is the most common cause of community-acquired pneumonia?,professional_medicine,Streptococcus pneumoniae,Streptococcus pneumoniae,True,95.0,0.36812710762023926,original,original,gpt-4o
"A patient presents with elevated blood pressure, headache, and dizziness. The most appropriate initial diagnostic test would be:",professional_medicine,24-hour ambulatory blood pressure monitoring,24-hour ambulatory blood pressure monitoring,True,90.0,0.6344358921051025,original,original,gpt-4o
Which philosopher is associated with the concept of the 'social contract'?,philosophy,Jean-Jacques Rousseau,Jean-Jacques Rousseau,True,100.0,1.0542147159576416,original,original,gpt-4o
"According to Kant's categorical imperative, one should:",philosophy,"Act only according to that maxim whereby you can, at the same time, will that it should become a universal law","Act only according to that maxim whereby you can, at the same time, will that it should become a universal law",True,100.0,0.9427430629730225,original,original,gpt-4o
Which of the following is NOT a water-soluble vitamin?,nutrition,Vitamin E,Vitamin E,True,100.0,0.3980438709259033,original,original,gpt-4o
What is the recency effect in memory?,high_school_psychology,The tendency to better recall items that were presented last in a sequence,The tendency to better recall items that were presented last in a sequence,True,100.0,0.81715989112854,original,original,gpt-4o
The Treaty of Versailles was signed at the end of which war?,high_school_world_history,World War I,World War I,True,100.0,0.4575819969177246,original,original,gpt-4o
Which of the following is NOT a principle of object-oriented programming?,college_computer_science,Procedural decomposition,Procedural decomposition,True,100.0,0.4731619358062744,original,original,gpt-4o
What is the primary role of fiber in the diet?,nutrition,Promoting digestive health and regular bowel movements,Promoting digestive health and regular bowel movements,True,100.0,0.5327069759368896,original,original,gpt-4o
Which of the following is NOT one of Freud's psychosexual stages of development?,high_school_psychology,Cognitive stage,Cognitive stage,True,100.0,0.3589949607849121,original,original,gpt-4o
Which of the following is the most common cause of community-acquired pneumonia?,professional_medicine,Streptococcus pneumoniae,Streptococcus pneumoniae,True,95.0,0.4012618064880371,original,original,gpt-4o
An object with mass m is moving with velocity v. What is its kinetic energy?,high_school_physics,½mv²,½mv²,True,100.0,0.40157413482666016,original,original,gpt-4o
What is the solution to the system of equations: 2x + y = 5 and x - y = 1?,high_school_mathematics,"x = 2, y = 1",Error: No clear answer,False,,1.4902441501617432,original,original,gpt-4o
Which of the following is Newton's Second Law of Motion?,high_school_physics,F = ma,F = ma,True,100.0,0.34813785552978516,original,original,gpt-4o
"A patient presents with elevated blood pressure, headache, and dizziness. The most appropriate initial diagnostic test would be:",professional_medicine,24-hour ambulatory blood pressure monitoring,24-hour ambulatory blood pressure monitoring,True,90.0,0.36394286155700684,original,original,gpt-4o
A plaintiff brings a products liability action against the manufacturer of a lawnmower. The plaintiff was injured while using the lawnmower when his foot slipped under the mower. The plaintiff's expert witness testifies that the blade guard was of a type that was more dangerous than alternative designs. The defendant's expert testifies that the blade guard was designed in accordance with government safety regulations. The jury should find for whom?,professional_law,"Either party, because compliance with government regulations does not preclude a finding that the product was defective.","Either party, because compliance with government regulations does not preclude a finding that the product was defective.",True,90.0,0.4901392459869385,original,original,gpt-4o
What is the time complexity of the quicksort algorithm in the average case?,college_computer_science,O(n log n),O(n log n),True,100.0,0.3809061050415039,original,original,gpt-4o
What is the primary function of mitochondria in a cell?,high_school_biology,Energy production through cellular respiration,Energy production through cellular respiration,True,100.0,0.3989081382751465,original,original,gpt-4o
Under what circumstances can a private citizen legally use deadly force against another person?,professional_law,When the person reasonably believes deadly force is necessary for self-defense against an imminent threat of death or serious bodily harm,When the person reasonably believes deadly force is necessary for self-defense against an imminent threat of death or serious bodily harm,True,95.0,0.5996658802032471,original,original,gpt-4o
"If f(x) = 3x² - 2x + 5, what is f'(x)?",high_school_mathematics,6x - 2,6x - 2,True,100.0,3.137688159942627,original,original,gpt-4o
Who was the first Emperor of China?,high_school_world_history,Qin Shi Huang,Qin Shi Huang,True,100.0,0.5629520416259766,original,original,gpt-4o
Which of the following is NOT involved in photosynthesis?,high_school_biology,Mitochondria,Mitochondria,True,100.0,0.39838480949401855,original,original,gpt-4o
Who was the first Emperor of China?,high_school_world_history,Qin Shi Huang,Qin Shi Huang,True,100.0,0.359633207321167,original,original,gpt-4o
What is the primary function of mitochondria in a cell?,high_school_biology,Energy production through cellular respiration,Energy production through cellular respiration,True,100.0,0.38641929626464844,original,original,gpt-4o
Which of the following is NOT a principle of object-oriented programming?,college_computer_science,Procedural decomposition,Procedural decomposition,True,100.0,0.44887495040893555,original,original,gpt-4o
"According to Kant's categorical imperative, one should:",philosophy,"Act only according to that maxim whereby you can, at the same time, will that it should become a universal law","Act only according to that maxim whereby you can, at the same time, will that it should become a universal law",True,100.0,0.4878363609313965,original,original,gpt-4o
"If f(x) = 3x² - 2x + 5, what is f'(x)?",high_school_mathematics,6x - 2,6x - 2,True,100.0,2.0000829696655273,original,original,gpt-4o
What is the recency effect in memory?,high_school_psychology,The tendency to better recall items that were presented last in a sequence,The tendency to better recall items that were presented last in a sequence,True,100.0,0.6964497566223145,original,original,gpt-4o
A plaintiff brings a products liability action against the manufacturer of a lawnmower. The plaintiff was injured while using the lawnmower when his foot slipped under the mower. The plaintiff's expert witness testifies that the blade guard was of a type that was more dangerous than alternative designs. The defendant's expert testifies that the blade guard was designed in accordance with government safety regulations. The jury should find for whom?,professional_law,"Either party, because compliance with government regulations does not preclude a finding that the product was defective.","Either party, because compliance with government regulations does not preclude a finding that the product was defective.",True,90.0,0.4016740322113037,original,original,gpt-4o
Which of the following is NOT a water-soluble vitamin?,nutrition,Vitamin E,Vitamin E,True,100.0,0.5213620662689209,original,original,gpt-4o
What is the primary role of fiber in the diet?,nutrition,Promoting digestive health and regular bowel movements,Promoting digestive health and regular bowel movements,True,100.0,0.7710320949554443,original,original,gpt-4o
What is the time complexity of the quicksort algorithm in the average case?,college_computer_science,O(n log n),O(n log n),True,100.0,0.377108097076416,original,original,gpt-4o
Which of the following is NOT involved in photosynthesis?,high_school_biology,Mitochondria,Mitochondria,True,100.0,0.535452127456665,original,original,gpt-4o
Under what circumstances can a private citizen legally use deadly force against another person?,professional_law,When the person reasonably believes deadly force is necessary for self-defense against an imminent threat of death or serious bodily harm,When the person reasonably believes deadly force is necessary for self-defense against an imminent threat of death or serious bodily harm,True,95.0,0.5117008686065674,original,original,gpt-4o
What is the solution to the system of equations: 2x + y = 5 and x - y = 1?,high_school_mathematics,"x = 2, y = 1",Error: No clear answer,False,,1.3250858783721924,original,original,gpt-4o
An object with mass m is moving with velocity v. What is its kinetic energy?,high_school_physics,½mv²,mv²,False,100.0,0.5577342510223389,original,original,gpt-4o
Which of the following is Newton's Second Law of Motion?,high_school_physics,F = ma,F = ma,True,100.0,0.3536100387573242,original,original,gpt-4o
The Treaty of Versailles was signed at the end of which war?,high_school_world_history,World War I,World War I,True,100.0,0.36628198623657227,original,original,gpt-4o
Which philosopher is associated with the concept of the 'social contract'?,philosophy,Jean-Jacques Rousseau,Jean-Jacques Rousseau,True,100.0,0.36693596839904785,original,original,gpt-4o
Which of the following is NOT one of Freud's psychosexual stages of development?,high_school_psychology,Cognitive stage,Cognitive stage,True,100.0,0.3252279758453369,original,original,gpt-4o
Which of the following is the most common cause of community-acquired pneumonia?,professional_medicine,Streptococcus pneumoniae,Streptococcus pneumoniae,True,95.0,0.3834412097930908,original,original,gpt-4o
"A patient presents with elevated blood pressure, headache, and dizziness. The most appropriate initial diagnostic test would be:",professional_medicine,24-hour ambulatory blood pressure monitoring,24-hour ambulatory blood pressure monitoring,True,90.0,0.5125100612640381,original,original,gpt-4o
Under what circumstances can a private citizen legally use deadly force against another person?,professional_law,When the person reasonably believes deadly force is necessary for self-defense against an imminent threat of death or serious bodily harm,When the person reasonably believes deadly force is necessary for self-defense against an imminent threat of death or serious bodily harm,True,95.0,0.4967811107635498,original,original,gpt-4o
What is the primary role of fiber in the diet?,nutrition,Promoting digestive health and regular bowel movements,Promoting digestive health and regular bowel movements,True,100.0,0.46889495849609375,original,original,gpt-4o
"A patient presents with elevated blood pressure, headache, and dizziness. The most appropriate initial diagnostic test would be:",professional_medicine,24-hour ambulatory blood pressure monitoring,24-hour ambulatory blood pressure monitoring,True,90.0,0.38260793685913086,original,original,gpt-4o
Which of the following is NOT a water-soluble vitamin?,nutrition,Vitamin E,Vitamin E,True,100.0,0.4994008541107178,original,original,gpt-4o
"If f(x) = 3x² - 2x + 5, what is f'(x)?",high_school_mathematics,6x - 2,6x - 2,True,100.0,1.5140111446380615,original,original,gpt-4o
Which of the following is the most common cause of community-acquired pneumonia?,professional_medicine,Streptococcus pneumoniae,Streptococcus pneumoniae,True,95.0,0.473844051361084,original,original,gpt-4o
What is the primary function of mitochondria in a cell?,high_school_biology,Energy production through cellular respiration,Energy production through cellular respiration,True,100.0,0.42197084426879883,original,original,gpt-4o
What is the time complexity of the quicksort algorithm in the average case?,college_computer_science,O(n log n),O(n log n),True,100.0,0.479633092880249,original,original,gpt-4o
Which of the following is NOT involved in photosynthesis?,high_school_biology,Mitochondria,Mitochondria,True,100.0,0.41037607192993164,original,original,gpt-4o
Which of the following is NOT a principle of object-oriented programming?,college_computer_science,Procedural decomposition,Procedural decomposition,True,100.0,0.5573701858520508,original,original,gpt-4o
Which of the following is NOT one of Freud's psychosexual stages of development?,high_school_psychology,Cognitive stage,Cognitive stage,True,95.0,7.797469139099121,original,original,gpt-4o-mini
Which of the following is NOT a principle of object-oriented programming?,college_computer_science,Procedural decomposition,Procedural decomposition,True,95.0,3.476957321166992,original,original,gpt-4o-mini
Under what circumstances can a private citizen legally use deadly force against another person?,professional_law,When the person reasonably believes deadly force is necessary for self-defense against an imminent threat of death or serious bodily harm,When the person reasonably believes deadly force is necessary for self-defense against an imminent threat of death or serious bodily harm,True,95.0,4.898181200027466,original,original,gpt-4o-mini
"A patient presents with elevated blood pressure, headache, and dizziness. The most appropriate initial diagnostic test would be:",professional_medicine,24-hour ambulatory blood pressure monitoring,Renal artery ultrasound,False,85.0,7.363107681274414,original,original,gpt-4o-mini
Which of the following is the most common cause of community-acquired pneumonia?,professional_medicine,Streptococcus pneumoniae,Streptococcus pneumoniae,True,95.0,3.3783581256866455,original,original,gpt-4o-mini
What is the primary role of fiber in the diet?,nutrition,Promoting digestive health and regular bowel movements,Promoting digestive health and regular bowel movements,True,95.0,0.4504420757293701,original,original,gpt-4o-mini
An object with mass m is moving with velocity v. What is its kinetic energy?,high_school_physics,½mv²,mv²,False,100.0,0.43242406845092773,original,original,gpt-4o-mini
